index,Definition
2124,Percentage of women who agree that a husband is justified in hitting or beating his wife if she neglects the children
2125,Percentage of women who agree that a husband is justified in hitting or beating his wife if she refuses to have sex with him
2126,Percentage of women who agree that a husband is justified in hitting or beating his wife for at least one specific reason
2127,Number of currently married or in union women
2128,Number of currently married or in union women (unweighted)
2129,Percentage of men who agree that a husband is justified in hitting or beating his wife if she burns the food
2130,Percentage of men who agree that a husband is justified in hitting or beating his wife if she argues with him
2131,Percentage of men who agree that a husband is justified in hitting or beating his wife if she goes out without telling him
2132,Percentage of men who agree that a husband is justified in hitting or beating his wife if she neglects the children
2133,Percentage of men who agree that a husband is justified in hitting or beating his wife if she refuses to have sex with him
2134,Percentage of men who agree that a husband is justified in hitting or beating his wife for at least one specific reason
2135,Number of currently married or in union men
2136,Number of currently married or in union men (unweighted)
2137,Percentage of women who believe that a wife is justified in refusing to have sex with her husband if she knows husband has sexually transmitted disease
2138,Percentage of women who believe that a wife is justified in refusing to have sex with her husband if she knows husband has sex with other women
2139,Percentage of women who believe that a wife is justified in refusing to have sex with her husband if she has recently given birth
2140,Percentage of women who believe that a wife is justified in refusing to have sex with her husband if she is tired or not in the mood
2141,Percentage of women who believe that a wife is justified in refusing to have sex with her husband for all of the reasons
2142,Percentage of women who believe that a wife is justified in refusing to have sex with her husband for none of the reasons
2143,Number of currently married or in union women
2144,Number of currently married or in union women (unweighted)
2145,"Percentage of currently married or in union women participating in decision making for their own health care, for major household pruchases, and for visits to her family or relatives"
2146,Number of currently married or in union women
2147,Number of currently married or in union women (unweighted)
2148,Percentage of currently married or in union women who disagree with all the reasons justifying wife beating
2149,Number of currently married or in union women
2150,Number of currently married or in union women (unweighted)
2151,Percentage of women who have ever heard of female circumcision
2152,Number of women
2153,Number of women (unweighted)
2154,Percentage of men who have ever heard of female circumcision
2155,Number of men
2156,Number of men (unweighted)
2157,Percentage of women circumcised (women who experienced female genital cutting (FGM))
2158,Number of women
2159,Number of women (unweighted)
2160,Percentage of circumcised women who were cut but no flesh was removed
2161,Percentage of circumcised women who were cut and had flesh removed
2162,Percentage of circumcised women who were sewn closed
2163,Percentage of circumcised women with unknown or missing information on type of circumcision
2164,Percentage of circumcised women: total
2165,Number of circumcised women
2166,Number of circumcised women (unweighted)
2167,Percentage of women circumcised before age 5
2168,Percentage of women circumcised at age 5-9
2169,Percentage of women circumcised at age 10-14
2170,Percentage of women circumcised at age 15+
2171,Percentage of circumcised women with age at circumcision unknown or missing
2172,Percentage of circumcised women: total
2173,Number of circumcised women
2174,Number of circumcised women (unweighted)
2175,Percentage of girls circumcised before age 1
2176,Percentage of girls circumcised at age 1-4
2177,Percentage of girls circumcised at age 5-9
2178,Percentage of girls circumcised at age 10-14
2179,"Percentage of girls cicumcised, but age at circumcision is unknown or missing"
2180,Percentage of girls not circumcised
2181,Percentage of girls: total
2182,Number of girls age 0-14
2183,Number of girls age 0-14 (unweighted)
2184,Percentage of girls age 0-4 circumcised
2185,Number of girls age 0-4
2186,Number of girls age 0-4 (unweighted)
2187,Percentage of girls age 5-9 circumcised
2188,Number of girls age 5-9
2189,Number of girls age 5-9 (unweighted)
2190,Percentage of girls age 10-14 circumcised
2191,Number of girls age 10-14
2192,Number of girls age 10-14 (unweighted)
2193,Percentage of girls age 0-14 circumcised
2194,Number of girls age 0-14
2195,Number of girls age 0-14 (unweighted)
2196,Percentage of circumcised girls age 0-14 infibulated
2197,Percentage of circumcised girls age 0-14 not infibulated
2198,Percentage of circumcised girls age 0-14 with unknown or missing information on infibulation
2199,Percentage of circumcised girls age 0-14: total
2200,Number of girls age 0-14
2201,Number of girls age 0-14 (unweighted)
2202,Percentage of girls age 0-14 circumcised by a traditional agent
2203,Number of girls age 0-14 circumcised
2204,Percentage of girls age 0-14 circumcised by a traditional circumciser
2205,Number of girls age 0-14 circumcised (unweighted)
2206,Percentage of girls age 0-14 circumcised by a traditional birth attendant
2207,Percentage of girls age 0-14 circumcised by other traditional agent
2208,Percentage of girls age 0-14 circumcised by a medical professional
2209,Percentage of girls age 0-14 circumcised by a doctor
2210,Percentage of girls age 0-14 circumcised by a nurse/midwife
2211,Percentage of girls age 0-14 circumcised by other health professional
2212,Percentage of girls age 0-14 circumcised with Don't know or missing on the person who performed the circumcision
2213,Percentage of girls age 0-14 circumcised: total 
2214,Percentage of women circumcised by a traditional agent
2215,Number of women
2216,Percentage of women circumcised by a traditional circumciser
2217,Number of women (unweighted)
2218,Percentage of women circumcised by a traditional birth attendant
2219,Percentage of women circumcised by other traditional agent
2220,Percentage of women circumcised by a medical professional
2221,Percentage of women circumcised by a doctor
2222,Percentage of women circumcised by a nurse/midwife
2223,Percentage of women circumcised by other health professional
2224,Percentage of women circumcised by other persons
2225,Percentage of women circumcised with don't know/ missing on the person who performed the circumcision
2226,Percentage of women circumcised: total 
2227,Percentage of women whose opinion is that religion requires female circumcision
2228,Percentage of women whose opinion that religion does not requires female circumcision
2229,Percentage of women that don't know if religion requires female circumcision
2230,Percentage of women: total
2231,Number of women who have heard of female circumcision
2232,Number of women who have heard of female circumcision (unweighted)
2233,Percentage of men whose opinion is that religion requires female circumcision
2234,Percentage of men whose opinion that religion does not requires female circumcision
2235,Percentage of men that don't know if religion requires female circumcision
2236,Percentage of men: total
2237,Number of men who have heard of female circumcision
2238,Number of men who have heard of female circumcision (unweighted)
2239,Percentage of women who believe that female circumcision should be continued
2240,Percentage of women who believe that female circumcision should not be continued
2241,Percentage of women who do not know whether female circumcision should be continued
2242,Percentage of women: total
2243,Number of women who have heard of female circumcision
2244,Number of women who have heard of female circumcision (unweighted)
2245,Percentage of men who believe that female circumcision should be continued
2246,Percentage of men who believe that female circumcision should not be continued
2247,Percentage of men who do not know whether female circumcision should be continued
2248,Percentage of men: total
2249,Number of men who have heard of female circumcision
2250,Number of men who have heard of female circumcision (unweighted)
2251,Percentage of women who have ever experienced physical violence since age 15
2252,Percentage of women who have experienced physical violence in the past 12 months often
2253,Percentage of women who have experienced physical violence in the past 12 months sometimes
2254,Percentage of women who have experienced physical violence in the past 12 months often or sometimes
2255,Number of women
2256,Number of women (unweighted)
2257,Percentage of women for whom physical violence was committed by current husband or partner
2258,Percentage of women for whom physical violence was committed by former husband or partner
2259,Percentage of women for whom physical violence was committed by current boyfriend 
2260,Percentage of women for whom physical violence was committed by former boyfriend
2261,Percentage of women for whom physical violence was committed by father/step-father
2262,Percentage of women for whom physical violence was committed by mother/step-mother
2263,Percentage of women for whom physical violence was committed by sister/brother
2264,Percentage of women for whom physical violence was committed by daughter/son
2265,Percentage of women for whom physical violence was committed by other relative
2266,Percentage of women for whom physical violence was committed by mother-in-law
2267,Percentage of women for whom physical violence was committed by father-in-law
2268,Percentage of women for whom physical violence was committed by other in-law
2269,Percentage of women for whom physical violence was committed by teacher
2270,Percentage of women for whom physical violence was committed by employer/someone at work
2271,Percentage of women for whom physical violence was committed by police/soldier
2272,Percentage of women for whom physical violence was committed by other
2273,Number of women who have experienced physical violence since age 15
2274,Number of women who have experienced physical violence since age 15 (unweighted)
2275,Percentage of women who ever experienced sexual violence
2276,Percentage of women who experienced sexual violence in past 12 months
2277,Number of women
2278,Number of women (unweighted)
2279,Percentage of women for whom sexual violence was committed by current husband or partner
2280,Percentage of women for whom sexual violence was committed by former husband or partner
2281,Percentage of women for whom sexual violence was committed by current/former boyfriend 
2282,Percentage of women for whom sexual violence was committed by father/step-father
2283,Percentage of women for whom sexual violence was committed by brother/step-brother
2284,Percentage of women for whom sexual violence was committed by other relative
2285,Percentage of women for whom sexual violence was committed by in-law
2286,Percentage of women for whom sexual violence was committed by own friend/acquaintance
2287,Percentage of women for whom sexual violence was committed by family friend
2288,Percentage of women for whom sexual violence was committed by teacher
2289,Percentage of women for whom sexual violence was committed by employer/someone at work
2290,Percentage of women for whom sexual violence was committed by police/soldier
2291,Percentage of women for whom sexual violence was committed by priest/religious leader
2292,Percentage of women for whom sexual violence was committed by stranger
2293,Percentage of women for whom sexual violence was committed by other
2294,Percentage of women for whom unknown or missing information for person committing sexual violence
2295,Number of women who have experienced sexual violence
2296,Number of women who have experienced sexual violence (unweighted)
2297,Percentage of women who experienced sexual violence before exact age 10
2298,Percentage of women who experienced sexual violence before exact age 12
2299,Percentage of women who experienced sexual violence before exact age 15
2300,Percentage of women who experienced sexual violence before exact age 18
2301,Percentage of women who experienced sexual violence before exact age 22
2302,Percentage of women who never experienced sexual violence
2303,Number of women 
2304,Number of women (unweighted)
2305,Percentage of women who experienced physical violence only
2306,Percentage of women who experienced sexual violence only
2307,Percentage of women who experienced physical and sexual violence
2308,Percentage of women who experienced physical or sexual violence
2309,Number of women 
2310,Number of women (unweighted)
2311,Percentage of women who experienced violence during pregnancy
2312,Women who have ever been pregnant
2313,Women who have ever been pregnant
2314,Percentage of ever married women whose husband or partner is jealous or angry if she talks to other men
2315,Percentage of ever married women whose husband or partner frequently accuses her of being unfaithful
2316,Percentage of ever married women whose husband or partner does not permit her to meet her female friends 
2317,Percentage of ever married women whose husband or partner tries to limit her contact with her family 
2318,Percentage of ever married women whose husband or partner insists on knowing where she is at all times
2319,Percentage of ever married women whose husband or partner does not trust her with any money
2320,Percentage of ever married women whose husband or partner displays 3 or more of the specific behaviors
2321,Percentage of ever married women whose husband or partner displays none of the specific behaviors
2322,Number of ever-married women
2323,Number of ever-married women (unweighted)
2324,Percentage of ever married women whose current or most recent husband or partner committed any physical violence
2325,"Percentage of ever married women whose current or most recent husband or partner pushed her, shook her, or threw something at her"
2326,Percentage of ever married women whose current or most recent husband or partner slapped her
2327,Percentage of ever married women whose current or most recent husband or partner twisted her arm or pulled her hair
2328,Percentage of ever married women whose current or most recent husband or partner punched her with his fist or with something that could hurt her
2329,"Percentage of ever married women whose current or most recent husband or partner kicked her, dragged her, or beat her up"
2330,Percentage of ever married women whose current or most recent husband or partner tried to choke her or burn her on purpose
2331,"Percentage of ever married women whose current or most recent husband or partner threatened or attacked her with a knife, gun, or other weapon"
2332,Percentage of ever married women whose current or most recent husband or partner committed any sexual violence
2333,Percentage of ever married women whose current or most recent husband or partner physically forced her to have sexual intercourse with him when she did not want to
2334,Percentage of ever married women whose current or most recent husband or partner physically forced her to perform any other sexual acts she did not want to
2335,Percentage of ever married women whose current or most recent husband or partner forced her with threats or in any other way to perform sexual acts she did not want to
2336,Percentage of ever married women whose current or most recent husband or partner committed any emotional violence
2337,Percentage of ever married women whose current or most recent husband or partner said or did something to humiliate her in front of others
2338,Percentage of ever married women whose current or most recent husband or partner threatened to hurt or harm her or someone she cared about
2339,Percentage of ever married women whose current or most recent husband or partner insulted her or made her feel bad about herself
2340,Percentage of ever married women whose current or most recent husband or partner committed any form of physical and/or sexual violence
2341,Percentage of ever married women whose current or most recent husband or partner committed any form of emotional and/or physical and/or sexual violence
2342,Percentage of ever married women for whom any husband or partner committed any physical violence
2343,Percentage of ever married women for whom any husband or partner committed any sexual violence
2344,Percentage of ever married women for whom any husband or partner committed any physical and/or sexual violence
2345,Number of ever-married women
2346,Number of ever-married women (unweighted)
2347,Percentage of ever married women who have ever experienced emotional violence committed by their husband or partner
2348,Percentage of ever married women who have ever experienced physical violence committed by their husband or partner
2349,Percentage of ever married women who have ever experienced sexual violence committed by their husband or partner
2350,Percentage of ever married women who have ever experienced physical and sexual violence committed by their husband or partner
2351,Percentage of ever married women who have ever experienced physical and sexual and emotional violence committed by their husband or partner
2352,Percentage of ever married women who have ever experienced physical or sexual violence committed by their husband or partner
2353,Percentage of ever married women who have ever experienced physical or sexual or emotional violence committed by their husband or partner
2354,Number of ever-married women
2355,Number of ever-married women (unweighted)
2356,Percentage of ever married women who have experienced emotional violence committed by their husband/partner in the 12 months preceding the survey
2357,Percentage of ever married women who have experienced physical violence committed by their husband/partner in the 12 months preceding the survey
2358,Percentage of ever married women who have experienced sexual violence committed by their husband/partner in the 12 months preceding the survey
2359,Percentage of ever married women who have experienced physical and sexual violence committed by their husband/partner in the 12 months preceding the survey
2360,Percentage of ever married women who have experienced physical and sexual and emotional violence committed by their husband/partner in the 12 months preceding the survey
2361,Percentage of ever married women who have experienced physical or sexual violence committed by their husband/partner in the 12 months preceding the survey
2362,Percentage of ever married women who have experienced physical or sexual or emotional violence committed by their husband/partner in the 12 months preceding the survey
2363,Number of ever-married women
2364,Number of ever-married women (unweighted)
2365,Percentage of currently married women age 15-49 who have been married only once whose first experience of spousal physical or sexual violence was before marriage
2366,Percentage of currently married women age 15-49 who have been married only once whose first experience of spousal physical or sexual violence was within two years of marriage
2367,Percentage of currently married women age 15-49 who have been married only once whose first experience of spousal physical or sexual violence was within five years of marriage
2368,Percentage of currently married women age 15-49 who have been married only once whose first experience of spousal physical or sexual violence was within ten years of marriage
2369,Percentage of currently married women age 15-49 who have been married only once and have not experienced spousal physical or sexual violence
2370,Number of currently married women age 15-49 who have been married only once
2371,Number of currently married women age 15-49 who have been married only once (unweighted)
2372,"Percentage of ever-married women who have experienced cuts, bruises or aches resulting from spousal violence"
2373,"Percentage of ever-married women who have experienced eye injuries, sprains, dislocations, or burns resulting from spousal violence"
2374,"Percentage of ever-married women who have experienced deep wounds, broken bones, broken teeth, or any other serious injury resulting from spousal violence"
2375,Percentage of ever-married women who have experienced any of these injuries resulting from spousal violence
2376,Number of ever-married women who have ever experienced any physical or sexual violence
2377,Number of ever-married women who have ever experienced any physical or sexual violence (weighted)
2378,Percentage of ever-married women who have committed physical violence against their husband or partner ever
2379,Percentage of ever-married women who have committed physical violence against their husband or partner in past 12 months
2380,Number of ever-married women
2381,Number of ever-married women (unweighted)
2382,Percentage of ever-married women who have ever experienced any physical or sexual violence who sought help to stop violence
2383,"Percentage of ever-married women who have ever experienced any physical or sexual violence who never sought help to stop violence, but told someone"
2384,"Percentage of ever-married women who have ever experienced any physical or sexual violence who never sought help to stop violence, and never told anyone"
2385,Percentage of ever-married women who have ever experienced any physical or sexual violence with don't know or missing information on whether they ever sought help to stop violence
2386,Percentage of ever-married women who have ever experienced any physical or sexual violence: total
2387,Number of ever-married women who have ever experienced any physical or sexual violence
2388,Number of ever-married women who have ever experienced any physical or sexual violence (unweighted)
2389,Percentage of women who have experienced physical or sexual violence who sought help to stop violence from own family
2390,Percentage of women who have experienced physical or sexual violence who sought help to stop violence from husband or partner's family
2391,Percentage of women who have experienced physical or sexual violence who sought help to stop violence from husband or partner 
2392,Percentage of women who have experienced physical or sexual violence who sought help to stop violence from boyfriend
2393,Percentage of women who have experienced physical or sexual violence who sought help to stop violence from friend
2394,Percentage of women who have experienced physical or sexual violence who sought help to stop violence from neighbor
2395,Percentage of women who have experienced physical or sexual violence who sought help to stop violence from religious leader
2396,Percentage of women who have experienced physical or sexual violence who sought help to stop violence from doctor/medical personnel
2397,Percentage of women who have experienced physical or sexual violence who sought help to stop violence from police
2398,Percentage of women who have experienced physical or sexual violence who sought help to stop violence from lawyer
2399,Percentage of women who have experienced physical or sexual violence who sought help to stop violence from social work organization
2400,Percentage of women who have experienced physical or sexual violence who sought help to stop violence from other
2401,Number of women who have experienced violence and sought help
2402,Number of women who have experienced violence and sought help (unweighted)
2403,Percentage of children aged 0-4 who had a birth certificate
2404,Percentage of children aged 0-4 who did not have a birth certificate but have been registered with a civil authority
2405,Percentage of children aged 0-4 whose births are reported registered.
2406,Number of children aged 0-4
2407,Number of children aged 0-4 (unweighted)
2408,Percentage of children age 2-14 years who experienced only non-violent discipline
2409,Percentage of children age 2-14 years who experienced psychological aggression
2410,Percentage of children age 2-14 years who experienced any physical punishment
2411,Percentage of children age 2-14 years who experienced severe physical punishment
2412,Percentage of children age 2-14 years who experienced any violent discipline method
2413,Number of children age 2-14 years
2414,Number of children age 2-14 years (unweighted)
2415,Percentage of respondents that believe that the child needs to be physically punished
2416,Number of respondents to the child discipline module
2417,Number of respondents to the child discipline module (unweighted)
2418,Percentage of children age 5-11 years involved in paid work outside household
2419,Percentage of children age 5-11 years involved in unpaid work outside household
2420,Percentage of children age 5-11 years involved in working for family business
2421,Percentage of children age 5-11 years involved in economic activity for at least one hour
2422,Percentage of children age 5-11 years involved in household chores less than 28 hours
2423,Percentage of children age 5-11 years involved in household chores for 28 hours or more
2424,Percentage of children age 5-11 years involved in child labor
2425,Number of children age 5-11
2426,Number of children age 5-11 (unweighted)
2427,Percentage of children age 12-14 years involved in paid work outside household
2428,Percentage of children age 12-14 years involved in unpaid work outside household
2429,Percentage of children age 12-14 years involved in working for family business
2430,Percentage of children age 12-14 years involved in economic activity less than 14 hours
2431,Percentage of children age 12-14 years involved in economic activity for 14 hours or more
2432,Percentage of children age 12-14 years involved in household chores less than 28 hours
2433,Percentage of children age 12-14 years involved in household chores for 28 hours or more
2434,Percentage of children age 12-14 years involved in child labor
2435,Number of children age 12-14
2436,Number of children age 12-14 (unweighted)
2437,Percentage of children age 5-14 year involved in child labor
2438,Number of children age 5-14
2439,Number of children age 5-14 (unweighted)
2440,Percentage of children age 5-14 years involved in child labor
2441,Percentage of children age 5-14 years attending school
2442,Number of children age 5-14
2443,Number of children age 5-14 (unweighted)
2444,Perctange of children age 5-14 invlved in child labor who are attending school
2445,Number of children age 5-14 involved in child labor
2446,Number of children age 5-14 involved in child labor (unweighted)
2447,Percentage of children age 5-14 attending school who are involved in child labour
2448,Number of children age 5-14 attending school
2449,Number of children age 5-14 attending school (unweighted)
2450,Current school attendance rate of orphans aged 10-14
2451,Number of de jure children aged 10-14 with both parents deceased
2452,Number of de jure children aged 10-14 with both parents deceased (unweighted)
2453,Current school attendance rate of children aged 10-14 both of whose parents are alive and who live with at least one parent
2454,Number of de jure children aged 10-14 with both parents alive and living with at least one parent
2455,Number of de jure children aged 10-14 with both parents alive and living with at least one parent (unweighted)
2456,Ratio of orphaned children aged 10-14 (who have lost either parent) in a household survey who are currently attending school to non-orphaned children the same age who are attending school.
2457,Percentage of the de facto female household population age 6 and over with no education
2458,Percentage of the de facto female household population age 6 and over with no education education
2459,Percentage of the de facto female household population age 6 and over with some primary education
2460,Percentage of the de facto female household population age 6 and over with completed primary education
2461,Percentage of the de facto female household population age 6 and over with some secondary education
2462,Percentage of the de facto female household population age 6 and over who attended higher education
2463,Percentage of the de facto female household population age 6 and over with 'don't know' or missing information on education
2464,Percentage of the de facto female household population age 6 and over: Total
2465,Percentage of the de facto female household population age 6 and over who attended primary education
2466,Percentage of the de facto female household population age 6 and over who attended secondary education
2467,Number of de facto female household members age 6 and over
2468,Number of de facto female household members age 6 and over (unweighted)
2469,Median number of years of education: Female
2470,Percentage of the de facto male household population age 6 and over with no education
2471,Percentage of the de facto male household population age 6 and over with no education education
2472,Percentage of the de facto male household population age 6 and over with some primary education
2473,Percentage of the de facto male household population age 6 and over with completed primary education
2474,Percentage of the de facto male household population age 6 and over with some secondary education
2475,Percentage of the de facto male household population age 6 and over who attended higher education
2476,Percentage of the de facto male household population age 6 and over with 'don't know' or missing information on education
2477,Percentage of the de facto male household population age 6 and over: Total
2478,Percentage of the de facto male household population age 6 and over who attended primary education
2479,Percentage of the de facto male household population age 6 and over who attended secondary education
2480,Number of de facto male household members age 6 and over
2481,Number of de facto male household members age 6 and over (unweighted)
2482,Median number of years of education: Male
2483,Percentage of the de facto household population age 6 and over with no education
2484,Percentage of the de facto household population age 6 and over with no education education
2485,Percentage of the de facto household population age 6 and over with some primary education
2486,Percentage of the de facto household population age 6 and over with completed primary education
2487,Percentage of the de facto household population age 6 and over with some secondary education
2488,Percentage of the de facto household population age 6 and over who attended higher education
2489,Percentage of the de facto household population age 6 and over with 'don't know' or missing information on education
2490,Percentage of the de facto household population age 6 and over: Total
2491,Percentage of the de facto household population age 6 and over who attended primary education
2492,Percentage of the de facto household population age 6 and over who attended secondary education
2493,Number of de facto household members age 6 and over
2494,Number of de facto household members age 6 and over (unweighted)
2495,Median number of years of education
2496,Percentage of primary school age girls attending primary school
2497,Percentage of primary school age boys attending primary school
2498,Percentage of primary school age children attending primary school
2499,The ratio of the net primary school attendance rate for girls to the net primary school attendance rate for boys
2500,Percentage of females of primary school age attending primary level
2501,Percentage of males of primary school age attending primary level
2502,Percentage of children of primary school age attending primary level
2503,The ratio of the gross primary school attendance rate for girls to the gross primary school attendance rate for boys
2504,Percentage of secondary school age girls attending secondary school
2505,Percentage of secondary school age boys attending secondary school
2506,Percentage of secondary school age children attending secondary school
2507,The ratio of the net secondary school attendance rate for girls to the net secondary school attendance rate for boys
2508,Percentage of females of secondary school age attending secondary level
2509,Percentage of males of secondary school age attending secondary level
2510,Percentage of children of secondary school age attending secondary level
2511,The ratio of the gross secondary school attendance rate for girls to the gross secondary school attendance rate for boys
2512,Percentage of women with no education
2513,Percentage of women with some primary education
2514,Percentage of women with completed primary education
2515,Percentage of women with some secondary education
2516,Percentage of women with completed secondary education
2517,Percentage of women with more than secondary education
2518,Percentage of women with 'don't know' or missing information on level of education
2519,Percentage of women: Total
2520,Percentage of women with primary education
2521,Percentage of women with secondary or higher education
2522,Median number of years of education completed by women
2523,Number of women aged 15-49
2524,Number of women aged 15-49 (unweighted)
2525,Percentage of men with no education
2526,Percentage of men with some primary education
2527,Percentage of men with completed primary education
2528,Percentage of men with some secondary education
2529,Percentage of men with completed secondary education
2530,Percentage of men with more than secondary education
2531,Percentage of men with 'don't know' or missing information on education
2532,Percentage of men: Total
2533,Percentage of men with primary education
2534,Percentage of men with secondary or higher education
2535,Median number of years of education completed by men
2536,"Number of men aged 15-49(54,59)"
2537,"Number of men aged 15-49(54,59) (unweighted)"
2538,Percentage of women with secondary or higher education
2539,Percentage of women who can read a whole sentence
2540,Percentage of women who can read part of a sentence
2541,Percentage of women who cannot read at all
2542,Percentage of women for whom no card with required language was available
2543,Percentage of women who are blind or visually impaired and unable to read
2544,Women with missing information on literacy
2545,Percentage of women: Total
2546,Percentage of women who are literate
2547,Number of women aged 15-49
2548,Number of women aged 15-49 (unweighted)
2549,Percentage of men with secondary or higher education
2550,Percentage of men who can read a whole sentence
2551,Percentage of men who can read part of a sentence
2552,Percentage of men who cannot read at all
2553,Percentage of men for whom no card with required language was available
2554,Percentage of men who are blind or visually impaired and unable to read
2555,men with missing information on literacy
2556,Percentage of men: Total
2557,Percentage of men who are literate
2558,"Number of men aged 15-49(54,59)"
2559,"Number of men aged 15-49(54,59) (unweighted)"
2560,Percentage of women who read a newspaper at least once a week
2561,Percentage of women who watch television at least once a week
2562,Percentage of women who listen to the radio at least once a week
2563,"Percentage of women with access to newspaper, television and radio at least once a week"
2564,Percentage of women with no access to mass media
2565,Number of women aged 15-49
2566,Number of women aged 15-49 (unweighted)
2567,Percentage of men who read a newspaper at least once a week
2568,Percentage of men who watch television at least once a week
2569,Percentage of men who listen to the radio at least once a week
2570,"Percentage of men with access to newspaper, television and radio at least once a week"
2571,Percentage of men with no access to mass media
2572,"Number of men aged 15-49(54,59)"
2573,"Number of men aged 15-49(54,59) (unweighted)"
2574,Percentage of women who worked in the 12 months preceding the survey and are working currently
2575,"Percentage of women who worked in the 12 months preceding the survey, but are not working currently"
2576,Percentage of women who did no work in the 12 months preceding the survey
2577,Percentage of women with 'don't know' or missing information on whether they worked in the last 12 months
2578,Percentage of women: Total
2579,Number of women aged 15-49
2580,Number of women aged 15-49 (unweighted)
2581,Percentage of men who worked in the 12 months preceding the survey and are working currently
2582,"Percentage of men who worked in the 12 months preceding the survey, but are not working currently"
2583,Percentage of men who did no work in the 12 months preceding the survey
2584,Percentage of men with 'don't know' or missing information on whether they worked in the last 12 months
2585,Percentage of men: Total
2586,"Number of men aged 15-49(54,59)"
2587,"Number of men aged 15-49(54,59) (unweighted)"
2588,"Percentage of women employed in the 12 months before the survey whose occupation is professional, technical, managerial"
2589,Percentage of women employed in the 12 months before the survey whose occupation is clerical
2590,"Percentage of women employed in the 12 months before the survey whose occupation is sales, services"
2591,Percentage of women employed in the 12 months before the survey whose occupation is skilled manual
2592,Percentage of women employed in the 12 months before the survey whose occupation is unskilled manual
2593,Percentage of women employed in the 12 months before the survey whose occupation is household & domestic
2594,Percentage of women employed in the 12 months before the survey whose occupation is in agriculture
2595,Percentage of women employed in the 12 months before the survey whose occupation is other
2596,Percentage of women employed in the 12 months before the survey with 'don't know' or missing information on occupation
2597,Percentage of women employed in the 12 months before the survey: Total
2598,Number of women employed in the 12 months before the survey
2599,Number of women employed in the 12 months before the survey (unweighted)
2600,"Percentage of men employed in the 12 months before the survey whose occupation is professional, technical, managerial"
2601,Percentage of men employed in the 12 months before the survey whose occupation is clerical
2602,"Percentage of men employed in the 12 months before the survey whose occupation is sales, services"
2603,Percentage of men employed in the 12 months before the survey whose occupation is skilled manual
2604,Percentage of men employed in the 12 months before the survey whose occupation is unskilled manual
2605,Percentage of men employed in the 12 months before the survey whose occupation is household & domestic
2606,Percentage of men employed in the 12 months before the survey whose occupation is in agriculture
2607,Percentage of men employed in the 12 months before the survey whose occupation is other
2608,Percentage of men employed in the 12 months before the survey with 'don't know' or missing information on occupation
2609,Percentage of men employed in the 12 months before the survey: Total
2610,Number of men employed in the 12 months before the survey
2611,Number of men employed in the 12 months before the survey (unweighted)
2612,Percentage of women employed in the 12 months before the survey who worked for cash only
2613,Percentage of women employed in the 12 months before the survey who worked for cash and in-kind payment
2614,Percentage of women employed in the 12 months before the surveywho worked for in-kind payment only
2615,Percentage of women employed in the 12 months before the surveywho worked unpaid
2616,Percentage of women employed in the 12 months before the survey with missing information on type of earnings
2617,Percentage of women employed in the 12 months preceding the survey employed by family member
2618,Percentage of women employed in the 12 months preceding the survey employed by non-family member
2619,Percentage of women employed in the 12 months preceding the survey self-employed
2620,Percentage of women employed in the 12 months preceding the survey with missing information on type of employer
2621,Percentage of women who worked all year
2622,Percentage of women who worked seasonally
2623,Percentage of women who worked occassionally
2624,Percentage of women with 'don't know' or missing information on recent work
2625,Percentage of women: Total
2626,Number of women employed during the past 12 months
2627,Number of women employed in the 12 months before the survey (unweighted)
2628,Percentage of currently married or in union women employed in the 12 months preceding the survey
2629,Number of currently married or in union women
2630,Number of currently married or in union women (unweighted)
2631,Percentage of currently married or in union men employed in the 12 months preceding the survey
2632,Number of currently married or in union men
2633,Number of currently married or in union men (unweighted)
2634,Percentage of currently married or in union women employed in the 12 months before the survey who worked for cash only
2635,Percentage of currently married or in union women employed in the 12 months before the survey who worked for cash and in-kind payment
2636,Percentage of currently married or in union women employed in the 12 months before the surveywho worked for in-kind payment only
2637,Percentage of currently married or in union women employed in the 12 months before the surveywho worked unpaid
2638,Percentage of currently married or in union women employed in the 12 months before the survey with missing information on type of earnings
2639,Percentage of currently married or in union women employed in the 12 months before the survey: Total
2640,Number of currently married or in union women employed in the 12 months preceding the survey receiving cash earnings
2641,Number of currently married or in union women employed in the 12 months preceding the survey receiving cash earnings (unweighted)
2642,Percentage of currently married or in union men employed in the 12 months before the survey who worked for cash only
2643,Percentage of currently married or in union men employed in the 12 months before the survey who worked for cash and in-kind payment
2644,Percentage of currently married or in union men employed in the 12 months before the surveywho worked for in-kind payment only
2645,Percentage of currently married or in union men employed in the 12 months before the surveywho worked unpaid
2646,Percentage of currently married or in union men employed in the 12 months before the survey with missing information on type of earnings
2647,Percentage of currently married or in union men employed in the 12 months before the survey: Total
2648,Number of currently married or in union men employed in the 12 months preceding the survey receiving cash earnings
2649,Number of currently married or in union men employed in the 12 months preceding the survey receiving cash earnings (unweighted)
2650,Percentage of currently married or in union women employed in the 12 months preceding the survey receiving cash earnings who decides herself how the earnings are used
2651,Percentage of currently married or in union women employed in the 12 months preceding the survey receiving cash earnings who decides jointly with partner how the earnings are used
2652,Percentage of currently married or in union women employed in the 12 months preceding the survey receiving cash earnings whose partner decides how the earnings are used
2653,Percentage of currently married or in union women employed in the 12 months preceding the survey receiving cash earnings for whom 'other' decides how the earnings are used
